2026-01-28 07:35:44 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/benchmarking/benchmark_latency.py (cwd=None)
2026-01-28 07:35:52 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 7.23s
2026-01-28 07:35:52 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/benchmarking/compute_wer.py (cwd=None)
2026-01-28 07:36:31 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 39.72s
2026-01-28 07:36:31 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/tensorrt/build_engine_py.py --onnx /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models/onnx/wav2vec2_optimized.onnx --out_dir /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models/tensorrt --precision fp16 (cwd=/mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/tensorrt)
2026-01-28 07:39:04 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 152.70s
2026-01-28 07:39:04 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/tensorrt/build_engine_py.py --onnx /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models/onnx/wav2vec2_optimized.onnx --out_dir /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models/tensorrt --precision mixed (cwd=/mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/tensorrt)
2026-01-28 07:41:25 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 141.47s
2026-01-28 07:41:25 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/tensorrt/build_engine_py.py --onnx /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models/onnx/wav2vec2_optimized.onnx --out_dir /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/models/tensorrt --precision fp32 (cwd=/mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/tensorrt)
2026-01-28 07:42:31 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 65.87s
2026-01-28 07:42:42 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/benchmarking/compare_backends.py (cwd=None)
